error,error_message,title,subtitle,description_1,cat_1,cat_2,cat_3,country,state,brand,available,date_published,price,description_2,discount,code,hashtag,rating
0,,Hoodie,Hoodie,This is a simple product1,Men,Dress,Test,Singapore,,Nike,1,10/7/2022,134,This is a simple product1,5,S123,Tag1,1
0,,Hoodie with Logo,Hoodie with Logo,This is a simple product2,Clothing ,Others,Other,Japan,Osaka,Nike,0,10/7/2022,134,This is a simple product2,1,S124,Tag2,3
0,,T-Shirt,T-Shirt,This is a simple product3,Clothing ,Men,Dress,USA,New York,Adidas,1,23/07/2002,134,This is a simple product3,4,S125,Tag3,4
0,,Beanie,Beanie,This is a simple product4,Clothing,Women,Dress,USA,Washing ton,Wonder,1,10/7/2022,134,This is a simple product4,5,S126,Tag4,3
0,,Belt,Belt,This is a simple product5,Clothing,Kids,Dress,Singapore,,Chola,1,10/7/2022,134,This is a simple product5,6,S127,Tag5,4
0,,Cap,Cap,This is a simple product6,Accessories,Men,Wallet,India,Mumbai,Power,1,23/07/2003,134,This is a simple product6,,S128,Tag6,5
0,,Sunglasses,Sunglasses,This is a simple product7,Accessories,Women,Purse,India,Kerala,Jackey,1,10/7/2022,0.23,This is a simple product7,8,S129,Tag7,2
0,,T-Shirt with Logo,T-Shirt with Logo,This is a simple product8,Accessories,,,India,New Delhi,Poomer,1,10/7/2022,134,This is a simple product8,,S130,Tag8,1
0,,Beanie with Logo,Beanie with Logo,This is a simple produc9,Mobile,Apple,Iphone 13,USA,Washington,KLC,1,23/07/2004,134,This is a simple produc9,8,S131,Tag9,3
0,,Logo Collection,Logo Collection,This is a simple product10,Mobile,Samsung,Galaxy 22,Japan,Kanto,Nike,1,10/7/2022,134,This is a simple product10,8,S132,Tag10,
0,,Polo,Polo,This is a simple product11,Mobile,Apple,iphone 14,Malaysia,Johor,Adidas,1,10/7/2022,134,This is a simple product11,8,S133,Tag11,3
0,,Album,Album,This is a simple product12,Mobile,Samsung,Fold,Malaysia,Penang,Poomer,0,23/07/2005,134,This is a simple product12,9,S134,Tag12,1
0,,Single,Single,This is a simple product13,Sports,Fitness,Dumbles,Thailand,phuket,KLC,0,10/7/2022,134,This is a simple product13,1,S135,Tag13,1
1,,Cap,Cap,This is a simple product14,Sports,Shoe,Spikes,Singapore,,Nike,0,10/7/2022,134,This is a simple product14,2,S136,Tag14,
1,,,,This is a simple product15,Mobile,Oppo,Reno12,Malaysia,KL,Adidas,0,23/07/2006,134,This is a simple product15,,S137,Tag15,4
0,,Jean Top,Jean Top,This is a simple product16,Clothing,Men,Jeans,Malaysia,Penang,Poomer,1,10/7/2022,134,This is a simple product16,,S138,Tag16,
0,,Sports Kids,Sports Kids,This is a simple product17,,women,Jeans,Thailand,Thai State,KLC,1,10/7/2022,134,This is a simple product17,,S139,Tag17,
0,,Boots,Boots,This is a simple product18,Others,Others,Dress,Indonesia,Bali,Nike,1,23/07/2007,134,This is a simple product18,,S140,Tag18,
0,,,Jean Top,This is a simple product16,Clothing,Men,Jeans,Malaysia,Penang,Poomer,1,10/7/2022,134,This is a simple product16,,S138,Tag16,
0,,Sports Kids,Sports Kids,This is a simple product17,,women,Jeans,Thailand,Thai State,KLC,1,10/7/2022,134,This is a simple product17,,S139,Tag17,
0,,Boots,Boots,This is a simple product18,Others,Others,Dress,Indonesia,Bali,Nike,1,23/07/2007,134,This is a simple product18,,S140,Tag18,
